FIPS,countyname,state,clinton,trump,johnson,ind_cand,mcmullin,total_votes,AGI,num_returns,num_dependents,num_tot_inc,tot_inc_amt,people
02000,"Alaska, AK",AK,93007,130415,14593,23166,0,246588,24270413.0,361110.0,209280.0,360720.0,24628251.0,570390.0
01107,"Pickens, AL",AL,3972,5456,49,114,0,9542,301640.0,7530.0,6000.0,7500.0,305093.0,13530.0
01007,"Bibb, AL",AL,1874,6738,124,207,0,8819,365681.0,7980.0,6340.0,7960.0,369326.0,14320.0
01079,"Lawrence, AL",AL,3627,10833,250,369,0,14829,601382.0,13540.0,9010.0,13510.0,606944.0,22550.0
01115,"St. Clair, AL",AL,5589,31651,684,1160,0,38400,1794459.0,35230.0,24400.0,35140.0,1814483.0,59630.0
01109,"Pike, AL",AL,5056,7693,257,419,0,13168,552172.0,12620.0,8740.0,12580.0,560651.0,21360.0
01091,"Marengo, AL",AL,5615,5233,104,146,0,10994,369923.0,8350.0,7020.0,8330.0,373848.0,15370.0
01069,"Houston, AL",AL,10664,30728,779,1247,0,42639,2253347.0,44650.0,32170.0,44490.0,2285350.0,76820.0
01003,"Baldwin, AL",AL,18458,72883,2464,3874,0,95215,5245901.0,90890.0,55660.0,90590.0,5331680.0,146550.0
01021,"Chilton, AL",AL,2911,15081,228,377,0,18369,764296.0,17430.0,13990.0,17380.0,772021.0,31420.0
01075,"Lamar, AL",AL,1036,5823,62,107,0,6966,218201.0,5290.0,3830.0,5270.0,220494.0,9120.0
01133,"Winston, AL",AL,872,9228,131,213,0,10313,391016.0,9040.0,6180.0,9020.0,397179.0,15220.0
01057,"Fayette, AL",AL,1362,6712,109,175,0,8249,262482.0,6250.0,4490.0,6230.0,265021.0,10740.0
01053,"Escambia, AL",AL,4605,9935,188,305,0,14845,626945.0,14360.0,11260.0,14320.0,634090.0,25620.0
01123,"Tallapoosa, AL",AL,5519,13594,233,373,0,19486,754745.0,17270.0,12940.0,17230.0,763399.0,30210.0
01129,"Washington, AL",AL,2374,6042,73,117,0,8533,335639.0,6620.0,5300.0,6610.0,338574.0,11920.0
01049,"DeKalb, AL",AL,3622,21405,458,799,0,25826,1034364.0,26820.0,21900.0,26760.0,1046728.0,48720.0
01095,"Marshall, AL",AL,4917,29233,678,1166,0,35316,1738043.0,39280.0,32240.0,39180.0,1759382.0,71520.0
01087,"Macon, AL",AL,7566,1431,69,143,0,9140,269319.0,8180.0,5860.0,8120.0,272086.0,14040.0
01131,"Wilcox, AL",AL,4339,1742,22,42,0,6123,150713.0,4480.0,4330.0,4440.0,152571.0,8810.0
01009,"Blount, AL",AL,2156,22859,338,573,0,25588,1031383.0,21900.0,16790.0,21840.0,1043008.0,38690.0
01037,"Coosa, AL",AL,1782,3381,53,89,0,5252,163115.0,4000.0,2680.0,3990.0,164476.0,6680.0
01025,"Clarke, AL",AL,5749,7140,99,142,0,13031,483455.0,10280.0,8430.0,10250.0,490181.0,18710.0
01121,"Talladega, AL",AL,12121,20614,411,672,0,33407,1383006.0,32740.0,24460.0,32650.0,1395832.0,57200.0
01059,"Franklin, AL",AL,2197,9466,238,377,0,12040,484033.0,12320.0,11350.0,12300.0,490665.0,23670.0
01011,"Bullock, AL",AL,3530,1140,22,40,0,4710,123262.0,3820.0,3340.0,3810.0,125009.0,7160.0
01031,"Coffee, AL",AL,4221,15875,396,671,0,20767,1108373.0,21010.0,15350.0,20960.0,1121597.0,36360.0
01033,"Colbert, AL",AL,7312,16746,511,857,0,24915,1169388.0,23690.0,14870.0,23620.0,1182566.0,38560.0
01071,"Jackson, AL",AL,3673,16672,393,639,0,20984,932330.0,21140.0,13860.0,21090.0,942180.0,35000.0
01093,"Marion, AL",AL,1432,11274,181,278,0,12984,443135.0,10760.0,7580.0,10730.0,448211.0,18340.0
01081,"Lee, AL",AL,21230,34617,2030,3344,0,59191,3276882.0,61750.0,44520.0,61590.0,3322649.0,106270.0
01077,"Lauderdale, AL",AL,9952,27899,987,1674,0,39525,1991293.0,38140.0,22620.0,38070.0,2018596.0,60760.0
01035,"Conecuh, AL",AL,3080,3420,51,85,0,6585,182906.0,4910.0,3790.0,4890.0,184776.0,8700.0
01043,"Cullman, AL",AL,3798,32989,687,1086,0,37873,1575147.0,33260.0,23160.0,33180.0,1597120.0,56420.0
01013,"Butler, AL",AL,3726,4901,65,105,0,8732,333848.0,8320.0,6510.0,8310.0,338255.0,14830.0
01039,"Covington, AL",AL,2387,13267,183,286,0,15940,683710.0,15010.0,10210.0,14970.0,692398.0,25220.0
01041,"Crenshaw, AL",AL,1664,4513,65,90,0,6267,238471.0,5760.0,4150.0,5750.0,241362.0,9910.0
01063,"Greene, AL",AL,4013,838,13,29,0,4880,105220.0,3480.0,3270.0,3470.0,106248.0,6750.0
01045,"Dale, AL",AL,4413,13808,350,528,0,18749,880477.0,20080.0,14550.0,20010.0,889669.0,34630.0
01023,"Choctaw, AL",AL,3109,4106,52,77,0,7292,245997.0,5230.0,3920.0,5200.0,248254.0,9150.0
